('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         455445 function calls (440261 primitive calls) in 1.553 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      786    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      764    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x7f5bac2b1020}
      754    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      754    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      731    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      731    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      676    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      669    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      620    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      620    0.000    0.000    0.000    0.000 {built-in method fromkeys}
  608/591    0.000    0.000    0.004    0.000 typing.py:306(inner)
      586    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
      559    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      557    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      557    0.006    0.000    0.008    0.000 sre_compile.py:292(_optimize_charset)
      528    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      496    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      486    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      478    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      478    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      472    0.003    0.000    0.003    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      458    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      438    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      436    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
      434    0.000    0.000    0.002    0.000 element.py:934(__new__)
      434    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
      434    0.001    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      365    0.000    0.000    0.001    0.000 enum.py:470(__setattr__)
      365    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      350    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      306    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      305    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      305    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      305    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      305    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      302    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      294    0.003    0.000    0.078    0.000 {built-in method builtins.__build_class__}
      292    0.000    0.000    0.090    0.000 re.py:249(compile)
      292    0.001    0.000    0.090    0.000 re.py:288(_compile)
      287    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      284    0.000    0.000    0.000    0.000 os.py:758(decode)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      272    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      260    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      258    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      257    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      257    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      250    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      249    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      224    0.000    0.000    0.000    0.000 enum.py:801(value)
      224    0.000    0.000    0.000    0.000 types.py:176(__get__)
      219    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      214    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      213    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
